phase	positive_probability	sign_agreement	magnitude_sigma	magnitude_rho	center_sd	center_rho	dyadic_weight	dyadic_rho	method	repetitions	n_perm	rejection_rate	wilson_low	wilson_high	median_p_value	mean_observed_profile_weight	mean_realized_sign_agreement	mean_realized_positive_probability	mean_realized_log_radius_sd	mean_realized_log_radius_correlation	mean_realized_center_correlation
seed2	0.5	0.5	0.85	0.55	0.0	0.8	0.15	0.5	mantel	400	199	0.58	0.5310957511319983	0.6273822817745143	0.03	0.6218340732110162	0.4990833333333334	0.4995833333333334	0.8342301165846691	0.5412684498432843	0.7820161035090005
seed2	0.5	0.5	0.85	0.55	0.0	0.8	0.15	0.5	naive_selected	400	199	0.635	0.5867439222120918	0.680687758317648	0.02	0.6218340732110162	0.4990833333333334	0.4995833333333334	0.8342301165846691	0.5412684498432843	0.7820161035090005
seed2	0.5	0.5	0.85	0.55	0.0	0.8	0.15	0.5	nested_max	400	199	0.635	0.5867439222120918	0.680687758317648	0.02	0.6218340732110162	0.4990833333333334	0.4995833333333334	0.8342301165846691	0.5412684498432843	0.7820161035090005
seed2	0.5	0.5	0.85	0.55	0.0	0.8	0.15	0.5	cv_retrained	400	199	0.6275	0.5791182279031106	0.6734561370416436	0.025	0.6218340732110162	0.4990833333333334	0.4995833333333334	0.8342301165846691	0.5412684498432843	0.7820161035090005
seed2	0.5	0.5	0.85	0.55	0.0	0.8	0.15	0.5	cv_frozen	400	199	0.615	0.5664353568701253	0.6613768154329864	0.025	0.6218340732110162	0.4990833333333334	0.4995833333333334	0.8342301165846691	0.5412684498432843	0.7820161035090005
seed2	0.5	0.5	0.85	0.55	1.0	0.8	0.15	0.5	profile	400	199	0.4475	0.39950089322688126	0.4964978976782199	0.065	0.5384896088652078	0.5034166666666667	0.49912499999999993	0.837653815861689	0.5510428914461264	0.7536842195584993
seed2	0.5	0.5	0.85	0.55	1.0	0.8	0.15	0.5	mantel	400	199	0.4375	0.3897078504391739	0.48648118635261317	0.07	0.5384896088652078	0.5034166666666667	0.49912499999999993	0.837653815861689	0.5510428914461264	0.7536842195584993
seed2	0.5	0.5	0.85	0.55	1.0	0.8	0.15	0.5	naive_selected	400	199	0.4625	0.41422725327343163	0.5114861688016406	0.06	0.5384896088652078	0.5034166666666667	0.49912499999999993	0.837653815861689	0.5510428914461264	0.7536842195584993
seed2	0.5	0.5	0.85	0.55	1.0	0.8	0.15	0.5	nested_max	400	199	0.4475	0.39950089322688126	0.4964978976782199	0.065	0.5384896088652078	0.5034166666666667	0.49912499999999993	0.837653815861689	0.5510428914461264	0.7536842195584993
seed2	0.5	0.5	0.85	0.55	1.0	0.8	0.15	0.5	cv_retrained	400	199	0.52	0.47108291490392346	0.5685365933227047	0.045	0.5384896088652078	0.5034166666666667	0.49912499999999993	0.837653815861689	0.5510428914461264	0.7536842195584993
seed2	0.5	0.5	0.85	0.55	1.0	0.8	0.15	0.5	cv_frozen	400	199	0.55	0.5010009985806122	0.5980477719859582	0.04	0.5384896088652078	0.5034166666666667	0.49912499999999993	0.837653815861689	0.5510428914461264	0.7536842195584993
seed2	0.5	0.75	0.35	0.55	0.0	0.8	0.15	0.5	profile	400	199	0.785	0.7421294764669898	0.8224485157624611	0.01	0.5922678085289299	0.7456666666666666	0.4985833333333333	0.34453782425993096	0.5455939466273485	0.7694223326491012
seed2	0.5	0.75	0.35	0.55	0.0	0.8	0.15	0.5	mantel	400	199	0.9675	0.9451958471762332	0.9809101576211996	0.005	0.5922678085289299	0.7456666666666666	0.4985833333333333	0.34453782425993096	0.5455939466273485	0.7694223326491012
