seed	n	scenario	method	repetitions	n_perm	rejections	rejection_rate	wilson_low	wilson_high
20260821	20	diffuse_aligned	cap_6.5	1200	499	736	0.6133333333333333	0.585459974381909	0.6404833988148043
20260821	20	diffuse_aligned	cap_7	1200	499	736	0.6133333333333333	0.585459974381909	0.6404833988148043
20260821	20	diffuse_aligned	cap_8	1200	499	736	0.6133333333333333	0.585459974381909	0.6404833988148043
20260821	20	bimodal_aligned	uncapped	1200	499	995	0.8291666666666667	0.8068300019531043	0.849402589316762
20260821	20	bimodal_aligned	cap_4.5	1200	499	995	0.8291666666666667	0.8068300019531043	0.849402589316762
20260821	20	bimodal_aligned	cap_5	1200	499	995	0.8291666666666667	0.8068300019531043	0.849402589316762
20260821	20	bimodal_aligned	cap_5.5	1200	499	995	0.8291666666666667	0.8068300019531043	0.849402589316762
20260821	20	bimodal_aligned	cap_6	1200	499	995	0.8291666666666667	0.8068300019531043	0.849402589316762
20260821	20	bimodal_aligned	cap_6.5	1200	499	995	0.8291666666666667	0.8068300019531043	0.849402589316762
20260821	20	bimodal_aligned	cap_7	1200	499	995	0.8291666666666667	0.8068300019531043	0.849402589316762
20260821	20	bimodal_aligned	cap_8	1200	499	995	0.8291666666666667	0.8068300019531043	0.849402589316762
20260821	20	unmatched_masking	uncapped	1200	499	5	0.004166666666666667	0.0017810244240327924	0.009716717840346006
20260821	20	unmatched_masking	cap_4.5	1200	499	321	0.2675	0.24322577182145605	0.2932580434588156
20260821	20	unmatched_masking	cap_5	1200	499	262	0.21833333333333332	0.19587840812781374	0.24258585554506026
20260821	20	unmatched_masking	cap_5.5	1200	499	197	0.16416666666666666	0.14428587271178192	0.18619074935972166
20260821	20	unmatched_masking	cap_6	1200	499	150	0.125	0.10747637942486975	0.14491687102718143
20260821	20	unmatched_masking	cap_6.5	1200	499	111	0.0925	0.07738218966866613	0.11021847582256282
20260821	20	unmatched_masking	cap_7	1200	499	86	0.07166666666666667	0.058399025485360134	0.08766793169764944
20260821	20	unmatched_masking	cap_8	1200	499	47	0.03916666666666667	0.029580595279676058	0.05169377694251129
