scenario	method	n	repetitions	n_perm	rejections	rejection_rate	wilson_low	wilson_high	mean_profile_correlation
bimodal_aligned	huber_c2.0	80	300	199	236	0.7866666666666666	0.7368372921361543	0.8292474043617724	0.5970344359240298
bimodal_aligned	huber_c3.0	80	300	199	210	0.7	0.6458824752950584	0.749060336215123	0.4369959486455732
bimodal_aligned	huber_cap3	80	300	199	274	0.9133333333333333	0.8760440413057516	0.9401711024819569	0.7903476679826579
bimodal_aligned	huber_cap4	80	300	199	273	0.91	0.8722229892013517	0.9374097743945206	0.790504238860927
bimodal_aligned	huber_cap6	80	300	199	273	0.91	0.8722229892013517	0.9374097743945206	0.79055420549325
bimodal_aligned	huber_cap8	80	300	199	272	0.9066666666666666	0.8684146029829267	0.934635780421109	0.7905415486138416
bimodal_aligned	huber_soft3	80	300	199	274	0.9133333333333333	0.8760440413057516	0.9401711024819569	0.7890092588430611
bimodal_aligned	huber_soft4	80	300	199	274	0.9133333333333333	0.8760440413057516	0.9401711024819569	0.7900682866156348
bimodal_aligned	huber_soft6	80	300	199	275	0.9166666666666666	0.8798783980359391	0.9429191259436057	0.7905062591400256
bimodal_aligned	huber_soft8	80	300	199	274	0.9133333333333333	0.8760440413057516	0.9401711024819569	0.7905673186974119
bimodal_aligned	trim5	80	300	199	216	0.72	0.666656114789153	0.7677809778720466	0.4147317196327971
bimodal_aligned	trim10	80	300	199	225	0.75	0.6980484035459826	0.7956301108417443	0.4497665790196894
bimodal_aligned	trim20	80	300	199	244	0.8133333333333334	0.7653812201652491	0.8533625178673686	0.5328851376409298
unmatched_masking	huber_c1.0	80	300	199	16	0.05333333333333334	0.03309191251909646	0.08486914177483133	0.07187015963723284
unmatched_masking	huber_c1.345	80	300	199	20	0.06666666666666667	0.043567515545158274	0.10072305951611496	0.0715475440316299
unmatched_masking	huber_c2.0	80	300	199	16	0.05333333333333334	0.03309191251909646	0.08486914177483133	0.07071136119817173
unmatched_masking	huber_c3.0	80	300	199	17	0.056666666666666664	0.03567747646328951	0.08886595802247463	0.0695379116847558
unmatched_masking	huber_cap3	80	300	199	107	0.3566666666666667	0.30458741740255907	0.41237023434847747	0.15730384921409604
unmatched_masking	huber_cap4	80	300	199	162	0.54	0.4834517097991302	0.5955368525029061	0.2161184837771909
unmatched_masking	huber_cap6	80	300	199	177	0.59	0.5335482149789318	0.6441760502006498	0.24118421346875568
unmatched_masking	huber_cap8	80	300	199	120	0.4	0.3461651905860969	0.4563634036588123	0.19926244959183478
unmatched_masking	huber_soft3	80	300	199	107	0.3566666666666667	0.30458741740255907	0.41237023434847747	0.16774834191360266
unmatched_masking	huber_soft4	80	300	199	136	0.4533333333333333	0.39794515245358275	0.509901524860708	0.19023875955338848
unmatched_masking	huber_soft6	80	300	199	112	0.37333333333333335	0.32052468559554903	0.42934486711466924	0.19131211690140398
unmatched_masking	huber_soft8	80	300	199	94	0.31333333333333335	0.2634843975598553	0.36790231169730847	0.1719080285938104
unmatched_masking	trim5	80	300	199	14	0.04666666666666667	0.027998933682334012	0.07679736022792105	0.07023013373931636
unmatched_masking	trim10	80	300	199	12	0.04	0.023027321487942308	0.06860421203864003	0.07127441356312104
unmatched_masking	trim20	80	300	199	17	0.056666666666666664	0.03567747646328951	0.08886595802247463	0.07195697649981618
