n	scenario	method	repetitions	n_perm	rejections	rejection_rate	wilson_low	wilson_high	mean_profile_correlation	median_p_value
160	null_contam_p10	huber_fit_all	300	199	14	0.04666666666666667	0.027998933682334012	0.07679736022792105	-0.008900942233262365	0.5725
160	null_contam_p10	iqr_capped3	300	199	11	0.03666666666666667	0.02059530516285303	0.06445384817189295	-0.0019691466260329145	0.51
160	null_contam_p10	huber_capped3	300	199	12	0.04	0.023027321487942308	0.06860421203864003	-0.002874599536346661	0.5375000000000001
160	matched_p01_m8	original_l2	300	199	300	1.0	0.9873570287754538	0.9999999999999998	0.7910127776096867	0.005
160	matched_p01_m8	iqr_fit_all	300	199	300	1.0	0.9873570287754538	0.9999999999999998	0.6366437392292461	0.005
160	matched_p01_m8	trim10_fit_all	300	199	300	1.0	0.9873570287754538	0.9999999999999998	0.6351071703516145	0.005
160	matched_p01_m8	huber_fit_all	300	199	300	1.0	0.9873570287754538	0.9999999999999998	0.6351244084605284	0.005
160	matched_p01_m8	iqr_capped3	300	199	157	0.5233333333333333	0.466878323217167	0.5791983381256874	0.1419547291852633	0.045
160	matched_p01_m8	huber_capped3	300	199	163	0.5433333333333333	0.48677384505565635	0.5987970974382163	0.14953821038402373	0.035
160	matched_p05_m8	original_l2	300	199	300	1.0	0.9873570287754538	0.9999999999999998	0.916883239131447	0.005
160	matched_p05_m8	iqr_fit_all	300	199	300	1.0	0.9873570287754538	0.9999999999999998	0.8633896897978623	0.005
160	matched_p05_m8	trim10_fit_all	300	199	300	1.0	0.9873570287754538	0.9999999999999998	0.8594620298775814	0.005
160	matched_p05_m8	huber_fit_all	300	199	300	1.0	0.9873570287754538	0.9999999999999998	0.859448904785224	0.005
160	matched_p05_m8	iqr_capped3	300	199	300	1.0	0.9873570287754538	0.9999999999999998	0.39762367733052184	0.005
160	matched_p05_m8	huber_capped3	300	199	300	1.0	0.9873570287754538	0.9999999999999998	0.4407534561503802	0.005
160	diffuse_aligned	original_l2	300	199	300	1.0	0.9873570287754538	0.9999999999999998	0.7988757558221488	0.005
160	diffuse_aligned	iqr_fit_all	300	199	300	1.0	0.9873570287754538	0.9999999999999998	0.8001726816544387	0.005
160	diffuse_aligned	trim10_fit_all	300	199	300	1.0	0.9873570287754538	0.9999999999999998	0.7747853733935263	0.005
160	diffuse_aligned	huber_fit_all	300	199	300	1.0	0.9873570287754538	0.9999999999999998	0.789917043997395	0.005
160	diffuse_aligned	iqr_capped3	300	199	300	1.0	0.9873570287754538	0.9999999999999998	0.8001726816544387	0.005
160	diffuse_aligned	huber_capped3	300	199	300	1.0	0.9873570287754538	0.9999999999999998	0.789917043997395	0.005
160	t2_matched	original_l2	300	199	224	0.7466666666666667	0.6945458844004171	0.7925502497954735	0.2989604833725183	0.01
160	t2_matched	iqr_fit_all	300	199	260	0.8666666666666667	0.8235282379361116	0.9005335831658879	0.33181867452196157	0.005
160	t2_matched	trim10_fit_all	300	199	253	0.8433333333333334	0.7978919765479306	0.8800931832112144	0.3245895984199234	0.005
160	t2_matched	huber_fit_all	300	199	258	0.86	0.8161683876490509	0.8947286730692758	0.32600931176717163	0.005
160	t2_matched	iqr_capped3	300	199	246	0.82	0.7725668011129554	0.859341697303335	0.20342684807788355	0.01
160	t2_matched	huber_capped3	300	199	283	0.9433333333333334	0.9111340419775253	0.9643225235367106	0.24419298526831948	0.005
160	skewed_aligned	original_l2	300	199	300	1.0	0.9873570287754538	0.9999999999999998	0.9883322243520333	0.005
160	skewed_aligned	iqr_fit_all	300	199	300	1.0	0.9873570287754538	0.9999999999999998	0.9798775448740393	0.005
160	skewed_aligned	trim10_fit_all	300	199	300	1.0	0.9873570287754538	0.9999999999999998	0.9798295206282076	0.005
160	skewed_aligned	huber_fit_all	300	199	300	1.0	0.9873570287754538	0.9999999999999998	0.979975711270514	0.005
160	skewed_aligned	iqr_capped3	300	199	300	1.0	0.9873570287754538	0.9999999999999998	0.9504085508988798	0.005
160	skewed_aligned	huber_capped3	300	199	300	1.0	0.9873570287754538	0.9999999999999998	0.9550452933843981	0.005
160	bimodal_aligned	original_l2	300	199	179	0.5966666666666667	0.540271195643406	0.6506178299198485	0.27335218019363894	0.005
