n	replication	root_seed	truth	method	estimate	se	z	covered	coefficient_x	coefficient_y	error
160	38	2026090701	0.19347511885804566	complete_kde	0.09741180471507567	0.09051716130497427	-1.0612718379370005	1	-0.04353399280380284	-0.22807928588413023	
160	38	2026090701	0.19347511885804566	direct_only_ablation	0.09741180471507578	0.09093511448093546	-1.0563940529608016	1	-0.04353399280380284	-0.22807928588413023	
160	38	2026090701	0.19347511885804566	oracle_fixed_reference	0.10909133886262577	0.0945598828394091	-0.8923845658600141	1	-0.04353399280380284	-0.22807928588413023	
160	39	2026090701	0.19347511885804566	complete_kde	-0.012984281466362248	0.0635611212468388	-3.248202616228645	0	0.013618786011586035	-0.22151599613350503	
160	39	2026090701	0.19347511885804566	direct_only_ablation	-0.012984281466362399	0.06355133269994183	-3.248702923339278	0	0.013618786011586035	-0.22151599613350503	
160	39	2026090701	0.19347511885804566	oracle_fixed_reference	-0.016471223424419666	0.06190479685672297	-3.3914389989580394	0	0.013618786011586035	-0.22151599613350503	
160	40	2026090701	0.19347511885804566	complete_kde	0.45290128791890116	0.1292516900713391	2.0071394727424297	0	-0.17633808717473448	-0.14047771111426943	
160	40	2026090701	0.19347511885804566	direct_only_ablation	0.452901287918901	0.12935294603976613	2.005568307513473	0	-0.17633808717473448	-0.14047771111426943	
160	40	2026090701	0.19347511885804566	oracle_fixed_reference	0.46408959929954036	0.12562849983027402	2.154085106541103	0	-0.17633808717473448	-0.14047771111426943	
160	41	2026090701	0.19347511885804566	complete_kde	0.05794301553688522	0.07865410881512687	-1.7231407915347803	1	-0.22432204470243908	-0.24629265425865718	
160	41	2026090701	0.19347511885804566	direct_only_ablation	0.05794301553688503	0.07719227866500998	-1.7557728009212814	1	-0.22432204470243908	-0.24629265425865718	
160	41	2026090701	0.19347511885804566	oracle_fixed_reference	0.09702975166434889	0.07698490175062496	-1.2527828834036776	1	-0.22432204470243908	-0.24629265425865718	
160	42	2026090701	0.19347511885804566	complete_kde	0.15583322732330235	0.06419925294844053	-0.5863291207605504	1	-0.19212905209467707	-0.27118998171419395	
160	42	2026090701	0.19347511885804566	direct_only_ablation	0.15583322732330235	0.06223879740920943	-0.604797860846416	1	-0.19212905209467707	-0.27118998171419395	
160	42	2026090701	0.19347511885804566	oracle_fixed_reference	0.106207073453882	0.064602977658809	-1.3508362705053139	1	-0.19212905209467707	-0.27118998171419395	
160	43	2026090701	0.19347511885804566	complete_kde	0.15664310552607624	0.10825078981629564	-0.3402470632729266	1	-0.28693494038658557	-0.05183306194953051	
160	43	2026090701	0.19347511885804566	direct_only_ablation	0.15664310552607627	0.10785086641684437	-0.34150873846125074	1	-0.28693494038658557	-0.05183306194953051	
160	43	2026090701	0.19347511885804566	oracle_fixed_reference	0.16770106396064374	0.10691758213547396	-0.24106470032911828	1	-0.28693494038658557	-0.05183306194953051	
160	44	2026090701	0.19347511885804566	complete_kde	0.35074264996066634	0.1901541721378162	0.8270527505893449	1	-0.16906646989742735	-0.12624634087379916	
160	44	2026090701	0.19347511885804566	direct_only_ablation	0.3507426499606665	0.19102363105227627	0.8232883556672755	1	-0.16906646989742735	-0.12624634087379916	
160	44	2026090701	0.19347511885804566	oracle_fixed_reference	0.33068877954838055	0.19874531131330905	0.6903994855708897	1	-0.16906646989742735	-0.12624634087379916	
160	45	2026090701	0.19347511885804566	complete_kde	0.22325621365604417	0.08636836314729893	0.3448148571162296	1	-0.2716323063094864	-0.2734715260685919	
160	45	2026090701	0.19347511885804566	direct_only_ablation	0.22325621365604406	0.08411903860477862	0.3540351303575954	1	-0.2716323063094864	-0.2734715260685919	
160	45	2026090701	0.19347511885804566	oracle_fixed_reference	0.19636522351078764	0.08355732915735323	0.03458828425809779	1	-0.2716323063094864	-0.2734715260685919	
160	46	2026090701	0.19347511885804566	complete_kde	0.04053731994116731	0.07911397449631087	-1.9331325456795239	1	-0.39010068518633295	-0.05633888087243667	
