design	scenario	strength	n_perm	repetitions	omnibus_reject_count	omnibus_rejection_rate	wilson_low	wilson_high	profile_rejection_rate	mantel_rejection_rate	best_component_power	omnibus_regret	adjusted_profile_rejection_rate	adjusted_mantel_rejection_rate	winner_profile_rate	winner_expected_rate	mean_profile_z	mean_mantel_z	profile_only_rate	mantel_only_rate	both_rate	unresolved_rate	winner_agreement_with_999	decision_agreement_with_999	attribution_agreement_with_999	profile_only_share_given_reject	mantel_only_share_given_reject	both_share_given_reject	unresolved_share_given_reject
severely_unequal	mixed_covariate	1.4	999	100	76	0.76	0.6676766365018553	0.8330867444305122	0.69	0.76	0.76	0.0	0.63	0.73	0.27	nan	2.3821474269047664	2.7417468752921548	0.03	0.13	0.6	0.24	1.0	1.0	1.0	0.039473684210526314	0.17105263157894737	0.7894736842105263	0.0
severely_unequal	radial_node	0.6	199	100	27	0.27	0.1926958414957634	0.36432116767944994	0.25	0.25	0.26	-0.009999999999999995	0.22	0.24	0.49	0.49	0.9179297408071997	0.9443017063379702	0.03	0.05	0.19	0.73	1.0	0.97	0.93	0.1111111111111111	0.18518518518518517	0.7037037037037037	0.0
severely_unequal	radial_node	0.6	499	100	25	0.25	0.17545211362287672	0.34304463548061603	0.24	0.26	0.26	0.009999999999999981	0.19	0.23	0.49	0.49	0.9347542577814818	0.9645450990489332	0.02	0.06	0.17	0.75	1.0	0.99	0.97	0.08	0.24	0.68	0.0
severely_unequal	radial_node	0.6	999	100	24	0.24	0.16691325556948772	0.33232336349814473	0.24	0.24	0.25	0.009999999999999995	0.18	0.23	0.49	0.49	0.9384605096836676	0.9659014807831567	0.01	0.06	0.17	0.76	1.0	1.0	1.0	0.041666666666666664	0.25	0.7083333333333334	0.0
severely_unequal	radial_node	1.0	199	100	56	0.56	0.4622810465167699	0.6532797336983921	0.57	0.52	0.57	0.010000000000000009	0.52	0.47	0.52	0.52	1.8731053906998592	1.9214080459205494	0.09	0.04	0.43	0.44	0.93	0.98	0.97	0.16071428571428573	0.07142857142857142	0.7678571428571429	0.0
severely_unequal	radial_node	1.0	499	100	56	0.56	0.4622810465167699	0.6532797336983921	0.55	0.5	0.55	-0.010000000000000009	0.51	0.49	0.5	0.5	1.8798663299369056	1.947125808916206	0.07	0.05	0.44	0.44	0.97	0.98	0.98	0.125	0.08928571428571429	0.7857142857142857	0.0
severely_unequal	radial_node	1.0	999	100	58	0.58	0.4820648670304296	0.6720161732564526	0.55	0.52	0.55	-0.030000000000000027	0.53	0.49	0.47	0.47	1.8913231185473336	1.9618932070784203	0.09	0.05	0.44	0.42	1.0	1.0	1.0	0.15517241379310345	0.08620689655172414	0.7586206896551724	0.0
severely_unequal	radial_node	1.4	199	100	78	0.78	0.6892964648501421	0.8499871761539459	0.8	0.78	0.81	0.030000000000000027	0.74	0.77	0.37	0.37	2.745932271360658	2.912007947053216	0.01	0.04	0.73	0.22	0.97	0.98	0.94	0.01282051282051282	0.05128205128205128	0.9358974358974359	0.0
severely_unequal	radial_node	1.4	499	100	80	0.8	0.7111708344068411	0.8666330666689676	0.8	0.81	0.81	0.010000000000000009	0.73	0.79	0.32	0.32	2.785202184246989	2.9571421329645977	0.01	0.07	0.72	0.2	0.98	1.0	0.97	0.0125	0.0875	0.9	0.0
severely_unequal	radial_node	1.4	999	100	80	0.8	0.7111708344068411	0.8666330666689676	0.79	0.82	0.82	0.020000000000000018	0.76	0.79	0.34	0.34	2.8014470234072064	2.97095449869516	0.01	0.04	0.75	0.2	1.0	1.0	1.0	0.0125	0.05	0.9375	0.0
