kind	scale_design	df_label	n	k_extremes	magnitude	repetition	matched_c_delta	matched_correlation	matched_p_value	independent_null_c_delta	independent_null_correlation	independent_null_p_value
l2	common_scale_parameter	normal	80	2	8.0	168	1.20944432	0.90526096	0.00333333	0.9875169	-0.04654761	0.64666667
l2	common_scale_parameter	normal	80	2	8.0	169	1.24782744	0.92792163	0.00333333	0.98976813	-0.03953016	0.59333333
l2	common_scale_parameter	normal	80	2	8.0	170	1.22988314	0.89578903	0.00333333	0.98524382	-0.06192317	0.76333333
l2	common_scale_parameter	normal	80	2	8.0	171	1.24476926	0.90073087	0.00333333	0.98528909	-0.06060023	0.73
l2	common_scale_parameter	normal	80	2	8.0	172	1.24845773	0.93384886	0.00333333	0.99005061	-0.03980447	0.61333333
l2	common_scale_parameter	normal	80	2	8.0	173	1.23513053	0.91221391	0.00333333	0.97789392	-0.0917909	0.92333333
l2	common_scale_parameter	normal	80	2	8.0	174	1.24103807	0.91648581	0.00333333	0.99081037	-0.03802854	0.58666667
l2	common_scale_parameter	normal	80	2	8.0	175	1.24632518	0.91301577	0.00333333	1.00392262	0.01627957	0.21666667
l2	common_scale_parameter	normal	80	2	8.0	176	1.21400547	0.89509771	0.00333333	0.98932332	-0.04125573	0.6
l2	common_scale_parameter	normal	80	2	8.0	177	1.24166297	0.91219564	0.00333333	0.99316301	-0.02598239	0.46
l2	common_scale_parameter	normal	80	2	8.0	178	1.22798048	0.88581093	0.00333333	0.99477937	-0.02119668	0.49666667
l2	common_scale_parameter	normal	80	2	8.0	179	1.20632247	0.87533251	0.00333333	1.00883224	0.03681764	0.15666667
l2	common_scale_parameter	normal	80	2	8.0	180	1.23183332	0.91796029	0.00333333	0.98256891	-0.06327533	0.86
l2	common_scale_parameter	normal	80	2	8.0	181	1.22433065	0.91291829	0.00333333	1.11212916	0.45332994	0.03333333
l2	common_scale_parameter	normal	80	2	8.0	182	1.22853565	0.88952995	0.00333333	0.98555082	-0.05640798	0.69333333
l2	common_scale_parameter	normal	80	2	8.0	183	1.26275294	0.93717062	0.00333333	0.97850698	-0.0926529	0.95333333
l2	common_scale_parameter	normal	80	2	8.0	184	1.21805908	0.88431782	0.00666667	0.99032906	-0.03616311	0.50666667
l2	common_scale_parameter	normal	80	2	8.0	185	1.21718085	0.89074856	0.00333333	0.98828123	-0.04938614	0.67
l2	common_scale_parameter	normal	80	2	8.0	186	1.20158603	0.85339481	0.00333333	0.98876743	-0.04398879	0.64666667
l2	common_scale_parameter	normal	80	2	8.0	187	1.2406019	0.92178271	0.00333333	1.00915379	0.03419932	0.12333333
l2	common_scale_parameter	normal	80	2	8.0	188	1.23751487	0.91201985	0.00333333	0.98985157	-0.03902563	0.61666667
l2	common_scale_parameter	normal	80	2	8.0	189	1.2054637	0.85871811	0.00333333	0.99621127	-0.01709471	0.42333333
l2	common_scale_parameter	normal	80	2	8.0	190	1.22472446	0.91674863	0.00333333	0.99668469	-0.01256614	0.4
