target_corr	kind	background	n	k_extremes	scenario	selected_magnitude	calibrated_mean_corr	calibrated_mean_norm	alpha	evaluation_repetitions	n_perm	reject_count	rejection_rate	wilson_low	wilson_high	mean_norm	mean_corr	mean_p	p05	p50	p95	mean_index_overlap
0.25	l1	normal	80	1	matched	3.0	0.199	0.8996	0.05	220	399	116	0.5273	0.4614	0.5922	0.9046	0.2182	0.0767	0.005	0.045	0.2751	1.0
0.25	l1	normal	80	1	independent_null	3.0	0.199	0.8996	0.05	220	399	11	0.05	0.0281	0.0873	0.876	-0.0086	0.5267	0.052	0.5325	0.9627	0.0227
0.25	l1	normal	80	2	matched	2.5	0.2154	0.9084	0.05	220	399	119	0.5409	0.4749	0.6055	0.9093	0.213	0.0796	0.0025	0.045	0.2651	2.0
0.25	l1	normal	80	2	independent_null	2.5	0.2154	0.9084	0.05	220	399	12	0.0545	0.0315	0.0929	0.8824	-0.0018	0.5124	0.0474	0.5175	0.9351	0.0545
0.25	l1	normal	80	3	matched	2.5	0.2915	0.9182	0.05	220	399	167	0.7591	0.6984	0.8108	0.9167	0.2803	0.0362	0.0025	0.015	0.1351	3.0
0.25	l1	normal	80	3	independent_null	2.5	0.2915	0.9182	0.05	220	399	12	0.0545	0.0315	0.0929	0.8823	-0.0019	0.5083	0.0474	0.505	0.9701	0.1
0.25	l1	normal	160	1	matched	4.0	0.2638	0.9023	0.05	220	399	204	0.9273	0.8851	0.9547	0.8998	0.2384	0.0169	0.0025	0.01	0.0675	1.0
0.25	l1	normal	160	1	independent_null	4.0	0.2638	0.9023	0.05	220	399	17	0.0773	0.0488	0.1203	0.8689	0.0093	0.4792	0.032	0.4775	0.94	0.0182
0.25	l1	normal	160	2	matched	3.0	0.2326	0.9053	0.05	220	399	181	0.8227	0.7669	0.8675	0.9016	0.2096	0.0306	0.0025	0.01	0.1305	2.0
0.25	l1	normal	160	2	independent_null	3.0	0.2326	0.9053	0.05	220	399	12	0.0545	0.0315	0.0929	0.8768	0.0087	0.4669	0.0474	0.4663	0.9001	0.0273
0.25	l1	normal	160	3	matched	3.0	0.2918	0.9091	0.05	220	399	219	0.9955	0.9747	0.9992	0.9086	0.2819	0.0066	0.0025	0.0025	0.02	3.0
0.25	l1	normal	160	3	independent_null	3.0	0.2918	0.9091	0.05	220	399	14	0.0636	0.0383	0.104	0.8723	0.0041	0.4913	0.0299	0.5125	0.9526	0.0727
0.25	l1	t3	40	1	matched	4.5	0.2359	0.8307	0.05	220	399	71	0.3227	0.2644	0.3871	0.8461	0.2713	0.1158	0.005	0.0762	0.3751	1.0
0.25	l1	t3	40	1	independent_null	4.5	0.2359	0.8307	0.05	220	399	16	0.0727	0.0453	0.1149	0.782	0.005	0.4951	0.0424	0.4975	0.9504	0.0318
0.25	l1	t3	40	2	matched	4.0	0.2622	0.8525	0.05	220	399	91	0.4136	0.3506	0.4797	0.8512	0.2718	0.124	0.0025	0.0675	0.4377	2.0
0.25	l1	t3	40	2	independent_null	4.0	0.2622	0.8525	0.05	220	399	5	0.0227	0.0097	0.0521	0.7987	-0.0183	0.5311	0.0775	0.5575	0.9552	0.0909
0.25	l1	t3	40	3	matched	3.5	0.2698	0.8698	0.05	220	399	81	0.3682	0.3072	0.4337	0.8719	0.2561	0.1348	0.0025	0.095	0.463	3.0
