kind	df_label	n	k_extremes	magnitude	scenario	alpha	repetitions	n_perm	reject_count	rejection_rate	wilson_low	wilson_high	mean_norm	mean_corr	mean_index_overlap	mean_p	p05	p50	p95
l2	t8	80	1	4.0	matched	0.05	120	299	79	0.6583	0.5697	0.7371	0.9228	0.2651	1.0	0.0501	0.0033	0.0283	0.1875
l2	t8	80	1	4.0	independent_null	0.05	120	299	7	0.0583	0.0285	0.1155	0.8944	-0.0051	0.0	0.5146	0.0432	0.4817	0.9868
l2	t8	80	1	6.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9397	0.531	1.0	0.01	0.0033	0.01	0.0202
l2	t8	80	1	6.0	independent_null	0.05	120	299	5	0.0417	0.0179	0.0938	0.8679	-0.0015	0.0167	0.5015	0.0692	0.4967	0.934
l2	t8	80	1	8.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9517	0.6923	1.0	0.0096	0.0033	0.01	0.02
l2	t8	80	1	8.0	independent_null	0.05	120	299	4	0.0333	0.013	0.0826	0.8336	-0.006	0.0167	0.5398	0.0827	0.55	0.9368
l2	t8	80	2	4.0	matched	0.05	120	299	117	0.975	0.9291	0.9915	0.9335	0.3901	2.0	0.0108	0.0033	0.0067	0.0333
l2	t8	80	2	4.0	independent_null	0.05	120	299	7	0.0583	0.0285	0.1155	0.8889	-0.0001	0.0417	0.5003	0.0465	0.4817	0.977
l2	t8	80	2	6.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9543	0.6743	2.0	0.0036	0.0033	0.0033	0.0067
l2	t8	80	2	6.0	independent_null	0.05	120	299	7	0.0583	0.0285	0.1155	0.8514	-0.0041	0.0583	0.5233	0.0398	0.5667	0.9207
l2	t8	80	2	8.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9692	0.8217	2.0	0.0036	0.0033	0.0033	0.0067
l2	t8	80	2	8.0	independent_null	0.05	120	299	7	0.0583	0.0285	0.1155	0.8167	0.0093	0.0583	0.4896	0.0265	0.495	0.9702
l2	t8	80	3	4.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9446	0.5034	3.0	0.0044	0.0033	0.0033	0.0068
l2	t8	80	3	4.0	independent_null	0.05	120	299	3	0.025	0.0085	0.0709	0.887	0.0013	0.0583	0.4865	0.0632	0.4733	0.97
l2	t8	80	3	6.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.965	0.7596	3.0	0.0033	0.0033	0.0033	0.0033
l2	t8	80	3	6.0	independent_null	0.05	120	299	6	0.05	0.0231	0.1048	0.8464	0.0033	0.1167	0.4992	0.0498	0.525	0.9535
l2	t8	80	3	8.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9781	0.8753	3.0	0.0033	0.0033	0.0033	0.0033
l2	t8	80	3	8.0	independent_null	0.05	120	299	4	0.0333	0.013	0.0826	0.8099	-0.0033	0.1	0.4981	0.0898	0.485	0.9533
l2	t8	160	1	4.0	matched	0.05	120	299	57	0.475	0.3878	0.5637	0.9117	0.1437	1.0	0.0957	0.0033	0.0567	0.3235
l2	t8	160	1	4.0	independent_null	0.05	120	299	6	0.05	0.0231	0.1048	0.8972	-0.0034	0.0	0.5111	0.053	0.5017	0.9468
l2	t8	160	1	6.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9223	0.3423	1.0	0.0085	0.0033	0.0067	0.02
l2	t8	160	1	6.0	independent_null	0.05	120	299	4	0.0333	0.013	0.0826	0.8807	0.0028	0.0083	0.496	0.0533	0.4583	0.9572
l2	t8	160	1	8.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9307	0.5106	1.0	0.0063	0.0033	0.0067	0.0102
