n	noise	positive_probability	contamination_fraction	magnitude_family	method	repetitions	n_perm	rejection_rate	wilson_low	wilson_high
80	0.15	0.5	0.05	uniform	huber_primary	1500	499	0.05466666666666667	0.0442585691503609	0.06734991047774742
80	0.15	0.5	0.05	uniform	huber_cap6	1500	499	0.09933333333333333	0.08520481966175386	0.1155087974886849
80	0.15	0.5	0.05	lognormal	original_l2	1500	499	0.05	0.040074440990789065	0.062224546657374286
80	0.15	0.5	0.05	lognormal	original_l1	1500	499	0.06066666666666667	0.04967170257629275	0.0739061238831734
80	0.15	0.5	0.05	lognormal	huber_primary	1500	499	0.06866666666666667	0.056939845516550396	0.08259711005139284
80	0.15	0.5	0.05	lognormal	huber_cap6	1500	499	0.132	0.11580643451510408	0.15007362649494949
80	0.15	0.65	0.0	uniform	original_l2	1500	499	0.8926666666666667	0.875987100609928	0.9073401531311562
80	0.15	0.65	0.0	uniform	original_l1	1500	499	0.51	0.4847088092636054	0.535240102121991
80	0.15	0.65	0.0	uniform	huber_primary	1500	499	0.61	0.585065858213312	0.634372167028248
80	0.15	0.65	0.0	uniform	huber_cap6	1500	499	0.61	0.585065858213312	0.634372167028248
80	0.15	0.65	0.0	lognormal	original_l2	1500	499	0.9913333333333333	0.9852283335257945	0.9949281792198403
80	0.15	0.65	0.0	lognormal	original_l1	1500	499	0.956	0.9444041499014111	0.9652662092817834
80	0.15	0.65	0.0	lognormal	huber_primary	1500	499	0.9233333333333333	0.9087614170585264	0.9357424982650532
80	0.15	0.65	0.0	lognormal	huber_cap6	1500	499	0.922	0.9073254696973115	0.9345185907748553
80	0.15	0.65	0.05	uniform	original_l2	1500	499	0.05	0.040074440990789065	0.062224546657374286
80	0.15	0.65	0.05	uniform	original_l1	1500	499	0.051333333333333335	0.041267385200304804	0.06369145729927139
80	0.15	0.65	0.05	uniform	huber_primary	1500	499	0.05533333333333333	0.04485824885472669	0.06808015819908805
80	0.15	0.65	0.05	uniform	huber_cap6	1500	499	0.088	0.07469568518530124	0.10340916572812829
80	0.15	0.65	0.05	lognormal	original_l2	1500	499	0.05733333333333333	0.04666002962225208	0.07026815970868193
80	0.15	0.65	0.05	lognormal	original_l1	1500	499	0.064	0.0526935459511578	0.07753391763684048
80	0.15	0.65	0.05	lognormal	huber_primary	1500	499	0.07	0.05815622865824503	0.08404058176111108
80	0.15	0.65	0.05	lognormal	huber_cap6	1500	499	0.17066666666666666	0.1524747782956195	0.19054107340540666
80	0.5	0.5	0.0	uniform	original_l2	1500	499	0.996	0.9913004908913017	0.9981655138342782
80	0.5	0.5	0.0	uniform	original_l1	1500	499	0.9306666666666666	0.9166809850866336	0.9424521319197167
80	0.5	0.5	0.0	uniform	huber_primary	1500	499	0.9846666666666667	0.9770961533671854	0.9897610851213854
80	0.5	0.5	0.0	uniform	huber_cap6	1500	499	0.9846666666666667	0.9770961533671854	0.9897610851213854
80	0.5	0.5	0.0	lognormal	original_l2	1500	499	1.0	0.9974455692798185	1.0
80	0.5	0.5	0.0	lognormal	original_l1	1500	499	0.9986666666666667	0.9951514387039899	0.9996342757244159
80	0.5	0.5	0.0	lognormal	huber_primary	1500	499	0.9993333333333333	0.9962333345857864	0.9998823072683257
80	0.5	0.5	0.0	lognormal	huber_cap6	1500	499	0.9993333333333333	0.9962333345857864	0.9998823072683257
80	0.5	0.5	0.05	uniform	original_l2	1500	499	0.04933333333333333	0.03947876255528736	0.061490297667169555
80	0.5	0.5	0.05	uniform	original_l1	1500	499	0.05266666666666667	0.042462382108623964	0.06515631524236508
80	0.5	0.5	0.05	uniform	huber_primary	1500	499	0.05533333333333333	0.04485824885472669	0.06808015819908805
