design	scenario	temperature	aggregation	method	repetitions	reject_count	rejection_rate	wilson_low	wilson_high	mean_profile_weight
balanced	conditional_null	8.0	building_equal	nested_max	600	22	0.03666666666666667	0.024336895975690734	0.05489161363033859	0.5018040702068819
balanced	conditional_null	8.0	building_equal	profile	600	21	0.035	0.023004350476005058	0.052912031466736606	0.5018040702068819
balanced	conditional_null	8.0	building_equal	standardized_max	600	18	0.03	0.01905925662590196	0.046920742326976704	0.5018040702068819
balanced	conditional_null	8.0	room_equal	cv_retrained	600	18	0.03	0.01905925662590196	0.046920742326976704	0.5018040702068819
balanced	conditional_null	8.0	room_equal	cv_standardized	600	23	0.03833333333333333	0.025677277815960083	0.0568633594533569	0.5246287227954414
balanced	conditional_null	8.0	room_equal	mantel	600	19	0.03166666666666667	0.020364911485651824	0.048927215130514526	0.5018040702068819
balanced	conditional_null	8.0	room_equal	nested_max	600	22	0.03666666666666667	0.024336895975690734	0.05489161363033859	0.5018040702068819
balanced	conditional_null	8.0	room_equal	profile	600	21	0.035	0.023004350476005058	0.052912031466736606	0.5018040702068819
balanced	conditional_null	8.0	room_equal	standardized_max	600	18	0.03	0.01905925662590196	0.046920742326976704	0.5018040702068819
balanced	conditional_null	8.0	sqrt_rooms	cv_retrained	600	18	0.03	0.01905925662590196	0.046920742326976704	0.5018040702068819
balanced	conditional_null	8.0	sqrt_rooms	cv_standardized	600	23	0.03833333333333333	0.025677277815960083	0.0568633594533569	0.5246287227954415
balanced	conditional_null	8.0	sqrt_rooms	mantel	600	19	0.03166666666666667	0.020364911485651824	0.048927215130514526	0.5018040702068819
balanced	conditional_null	8.0	sqrt_rooms	nested_max	600	22	0.03666666666666667	0.024336895975690734	0.05489161363033859	0.5018040702068819
balanced	conditional_null	8.0	sqrt_rooms	profile	600	21	0.035	0.023004350476005058	0.052912031466736606	0.5018040702068819
balanced	conditional_null	8.0	sqrt_rooms	standardized_max	600	18	0.03	0.01905925662590196	0.046920742326976704	0.5018040702068819
balanced	dyadic	0.0	building_equal	cv_retrained	600	82	0.13666666666666666	0.111483490917006	0.16647267848628314	0.4999999999999999
balanced	dyadic	0.0	building_equal	cv_standardized	600	75	0.125	0.10089974887356176	0.15387152688671377	0.4999999999999999
balanced	dyadic	0.0	building_equal	mantel	600	162	0.27	0.23602264667772457	0.3069037357885778	0.4999999999999999
balanced	dyadic	0.0	building_equal	nested_max	600	99	0.165	0.13744910047022482	0.1968132392089547	0.4999999999999999
balanced	dyadic	0.0	building_equal	profile	600	92	0.15333333333333332	0.12671592117000455	0.18436152486616128	0.4999999999999999
balanced	dyadic	0.0	building_equal	standardized_max	600	141	0.235	0.20282559541589984	0.27054610612136154	0.4999999999999999
balanced	dyadic	0.0	room_equal	cv_retrained	600	82	0.13666666666666666	0.111483490917006	0.16647267848628314	0.4999999999999999
balanced	dyadic	0.0	room_equal	cv_standardized	600	75	0.125	0.10089974887356176	0.15387152688671377	0.4999999999999999
balanced	dyadic	0.0	room_equal	mantel	600	162	0.27	0.23602264667772457	0.3069037357885778	0.4999999999999999
balanced	dyadic	0.0	room_equal	nested_max	600	99	0.165	0.13744910047022482	0.1968132392089547	0.4999999999999999
balanced	dyadic	0.0	room_equal	profile	600	92	0.15333333333333332	0.12671592117000455	0.18436152486616128	0.4999999999999999
balanced	dyadic	0.0	room_equal	standardized_max	600	141	0.235	0.20282559541589984	0.27054610612136154	0.4999999999999999
balanced	dyadic	0.0	sqrt_rooms	cv_retrained	600	82	0.13666666666666666	0.111483490917006	0.16647267848628314	0.5000000000000001
