section	source_file	kind	background	n	k_extremes	scenario	target_corr	selected_magnitude	alpha	repetitions	n_perm	reject_count	rejection_rate	wilson_low	wilson_high	mean_norm	mean_corr	mean_p	p05	p50	p95	mean_index_overlap
lower_target_l1_target_0.35	lower_target_l1_calibration_20260716.tsv	l1	lognormal	40	2	negative_control	0.35	3.0	0.05	500	499	17	0.034	0.0213	0.0538	0.7696	-0.0128	0.5235	0.058	0.529	0.9521	0.0
lower_target_l1_target_0.35	lower_target_l1_calibration_20260716.tsv	l1	lognormal	40	2	independent_null	0.35	3.0	0.05	500	499	26	0.052	0.0357	0.0751	0.7706	0.008	0.4916	0.048	0.504	0.95	0.1
lower_target_l1_target_0.35	lower_target_l1_calibration_20260716.tsv	l1	lognormal	40	3	matched	0.35	2.5	0.05	500	499	278	0.556	0.5122	0.599	0.8779	0.3556	0.0498	0.002	0.044	0.122	3.0
lower_target_l1_target_0.35	lower_target_l1_calibration_20260716.tsv	l1	lognormal	40	3	negative_control	0.35	2.5	0.05	500	499	23	0.046	0.0308	0.0681	0.8111	-0.0145	0.5314	0.0539	0.558	0.9601	0.0
lower_target_l1_target_0.35	lower_target_l1_calibration_20260716.tsv	l1	lognormal	40	3	independent_null	0.35	2.5	0.05	500	499	17	0.034	0.0213	0.0538	0.807	-0.0048	0.503	0.0619	0.492	0.9281	0.218
sample_size_matched_power	sample_size_sensitivity_20260716.tsv	l2	normal	20	1	matched	0.35	2.5	0.05	300	499	105	0.35	0.2982	0.4056	0.9508	0.3607	0.1234	0.006	0.082	0.369	1.0
sample_size_independent_null	sample_size_sensitivity_20260716.tsv	l2	normal	20	1	independent_null	0.35	2.5	0.05	300	499	18	0.06	0.0383	0.0928	0.9203	-0.0022	0.5038	0.0399	0.481	0.9702	0.0633
sample_size_matched_power	sample_size_sensitivity_20260716.tsv	l2	normal	20	2	matched	0.35	2.5	0.05	300	499	162	0.54	0.4835	0.5955	0.9599	0.432	0.0782	0.002	0.042	0.2785	2.0
sample_size_independent_null	sample_size_sensitivity_20260716.tsv	l2	normal	20	2	independent_null	0.35	2.5	0.05	300	499	12	0.04	0.023	0.0686	0.9251	0.0105	0.4868	0.0738	0.489	0.9361	0.2067
sample_size_matched_power	sample_size_sensitivity_20260716.tsv	l2	normal	20	3	matched	0.35	2.5	0.05	300	499	190	0.6333	0.5774	0.6859	0.9651	0.4568	0.0611	0.002	0.028	0.238	3.0
sample_size_independent_null	sample_size_sensitivity_20260716.tsv	l2	normal	20	3	independent_null	0.35	2.5	0.05	300	499	12	0.04	0.023	0.0686	0.9316	-0.0268	0.5282	0.066	0.531	0.9742	0.45
sample_size_matched_power	sample_size_sensitivity_20260716.tsv	l2	normal	40	1	matched	0.35	3.0	0.05	300	499	189	0.63	0.574	0.6827	0.9424	0.3387	0.0619	0.004	0.034	0.2341	1.0
sample_size_independent_null	sample_size_sensitivity_20260716.tsv	l2	normal	40	1	independent_null	0.35	3.0	0.05	300	499	17	0.0567	0.0357	0.0889	0.9105	-0.0061	0.522	0.0479	0.55	0.9483	0.0367
sample_size_matched_power	sample_size_sensitivity_20260716.tsv	l2	normal	40	2	matched	0.35	2.5	0.05	300	499	200	0.6667	0.6115	0.7176	0.9478	0.3446	0.0573	0.002	0.022	0.2343	2.0
sample_size_independent_null	sample_size_sensitivity_20260716.tsv	l2	normal	40	2	independent_null	0.35	2.5	0.05	300	499	12	0.04	0.023	0.0686	0.9182	0.002	0.4965	0.0598	0.482	0.9561	0.0967
sample_size_matched_power	sample_size_sensitivity_20260716.tsv	l2	normal	40	3	matched	0.35	2.5	0.05	300	499	236	0.7867	0.7368	0.8292	0.9528	0.393	0.0324	0.002	0.012	0.1224	3.0
sample_size_independent_null	sample_size_sensitivity_20260716.tsv	l2	normal	40	3	independent_null	0.35	2.5	0.05	300	499	18	0.06	0.0383	0.0928	0.9219	0.0238	0.4611	0.04	0.461	0.9345	0.2833
sample_size_matched_power	sample_size_sensitivity_20260716.tsv	l2	normal	80	1	matched	0.35	4.0	0.05	300	499	292	0.9733	0.9483	0.9864	0.9386	0.3741	0.0133	0.002	0.01	0.0381	1.0
sample_size_independent_null	sample_size_sensitivity_20260716.tsv	l2	normal	80	1	independent_null	0.35	4.0	0.05	300	499	20	0.0667	0.0436	0.1007	0.9017	0.0105	0.4754	0.042	0.45	0.9501	0.0233
sample_size_matched_power	sample_size_sensitivity_20260716.tsv	l2	normal	80	2	matched	0.35	3.0	0.05	300	499	281	0.9367	0.9032	0.9591	0.9408	0.3341	0.0148	0.002	0.006	0.058	2.0
sample_size_independent_null	sample_size_sensitivity_20260716.tsv	l2	normal	80	2	independent_null	0.35	3.0	0.05	300	499	16	0.0533	0.0331	0.0849	0.9096	-0.0018	0.5047	0.0459	0.51	0.9501	0.0567
sample_size_matched_power	sample_size_sensitivity_20260716.tsv	l2	normal	80	3	matched	0.35	3.0	0.05	300	499	297	0.99	0.971	0.9966	0.9472	0.4229	0.0045	0.002	0.002	0.014	3.0
sample_size_independent_null	sample_size_sensitivity_20260716.tsv	l2	normal	80	3	independent_null	0.35	3.0	0.05	300	499	12	0.04	0.023	0.0686	0.9076	-0.0045	0.514	0.0578	0.505	0.9481	0.0933
sample_size_matched_power	sample_size_sensitivity_20260716.tsv	l2	normal	160	1	matched	0.35	5.0	0.05	300	499	300	1.0	0.9874	1.0	0.9339	0.3529	0.0057	0.002	0.004	0.0121	1.0
sample_size_independent_null	sample_size_sensitivity_20260716.tsv	l2	normal	160	1	independent_null	0.35	5.0	0.05	300	499	16	0.0533	0.0331	0.0849	0.8982	0.0061	0.481	0.0478	0.485	0.9361	0.01
sample_size_matched_power	sample_size_sensitivity_20260716.tsv	l2	normal	160	2	matched	0.35	4.0	0.05	300	499	300	1.0	0.9874	1.0	0.9376	0.377	0.0025	0.002	0.002	0.004	2.0
sample_size_independent_null	sample_size_sensitivity_20260716.tsv	l2	normal	160	2	independent_null	0.35	4.0	0.05	300	499	16	0.0533	0.0331	0.0849	0.899	0.001	0.496	0.046	0.482	0.9462	0.0233
sample_size_matched_power	sample_size_sensitivity_20260716.tsv	l2	normal	160	3	matched	0.35	3.5	0.05	300	499	300	1.0	0.9874	1.0	0.939	0.3709	0.0023	0.002	0.002	0.004	3.0
sample_size_independent_null	sample_size_sensitivity_20260716.tsv	l2	normal	160	3	independent_null	0.35	3.5	0.05	300	499	15	0.05	0.0305	0.0808	0.9031	0.0003	0.4996	0.0537	0.486	0.9561	0.06
sample_size_matched_power	sample_size_sensitivity_20260716.tsv	l2	t3	20	1	matched	0.35	4.0	0.05	300	499	93	0.31	0.2603	0.3645	0.9289	0.3447	0.1388	0.01	0.092	0.3902	1.0
sample_size_independent_null	sample_size_sensitivity_20260716.tsv	l2	t3	20	1	independent_null	0.35	4.0	0.05	300	499	9	0.03	0.0159	0.056	0.8914	0.0102	0.4769	0.0779	0.472	0.9364	0.0233
sample_size_matched_power	sample_size_sensitivity_20260716.tsv	l2	t3	20	2	matched	0.35	3.5	0.05	300	499	115	0.3833	0.3301	0.4395	0.9377	0.3272	0.1711	0.002	0.087	0.6046	2.0
sample_size_independent_null	sample_size_sensitivity_20260716.tsv	l2	t3	20	2	independent_null	0.35	3.5	0.05	300	499	11	0.0367	0.0206	0.0645	0.9076	0.0017	0.494	0.0659	0.478	0.966	0.2033
sample_size_matched_power	sample_size_sensitivity_20260716.tsv	l2	t3	20	3	matched	0.35	3.5	0.05	300	499	122	0.4067	0.3526	0.4631	0.9468	0.3304	0.1645	0.002	0.091	0.5567	3.0
sample_size_independent_null	sample_size_sensitivity_20260716.tsv	l2	t3	20	3	independent_null	0.35	3.5	0.05	300	499	19	0.0633	0.0409	0.0968	0.9199	-0.0016	0.5054	0.0399	0.499	0.9541	0.4233
sample_size_matched_power	sample_size_sensitivity_20260716.tsv	l2	t3	40	1	matched	0.35	5.5	0.05	300	499	154	0.5133	0.457	0.5694	0.91	0.3471	0.0785	0.0059	0.044	0.2503	1.0
sample_size_independent_null	sample_size_sensitivity_20260716.tsv	l2	t3	40	1	independent_null	0.35	5.5	0.05	300	499	13	0.0433	0.0255	0.0727	0.8592	-0.0047	0.5112	0.0539	0.518	0.962	0.02
sample_size_matched_power	sample_size_sensitivity_20260716.tsv	l2	t3	40	2	matched	0.35	4.5	0.05	300	499	172	0.5733	0.5168	0.628	0.9208	0.3587	0.0747	0.002	0.034	0.2785	2.0
