n	latent_correlation	contamination_fraction	method	repetitions	n_perm	rejection_rate	wilson_low	wilson_high	mean_cdelta_minus_one	mean_profile_correlation
160	0.0	0.0	huber_primary	1200	499	0.04833333333333333	0.037574011009416555	0.06197519286838732	-0.0013940198225163014	-0.006199193789627726
160	0.0	0.0	huber_cap6	1200	499	0.04833333333333333	0.037574011009416555	0.06197519286838732	-0.0013940198225163014	-0.006199193789627726
160	0.0	0.05	original_l2	1200	499	0.03666666666666667	0.027426059843153	0.048864267382048014	-0.00024395071505600718	-0.0007029887784243592
160	0.0	0.05	huber_primary	1200	499	0.04083333333333333	0.03102354197066147	0.05357352691618343	-0.004564671312528912	-0.0010323803524211394
160	0.0	0.05	huber_cap6	1200	499	0.034166666666666665	0.02528441842514967	0.04602186380306503	-0.002682991004214763	-0.0015851353353122618
160	0.1	0.0	original_l2	1200	499	0.25583333333333336	0.23195241723925797	0.28127252138841086	0.004382170507547967	0.08539869247516961
160	0.1	0.0	huber_primary	1200	499	0.2925	0.2674561790229269	0.318868086227208	0.021232338023803976	0.09185663489038265
160	0.1	0.0	huber_cap6	1200	499	0.2925	0.2674561790229269	0.318868086227208	0.021232338023803976	0.09185663489038265
160	0.1	0.05	original_l2	1200	499	0.04833333333333333	0.037574011009416555	0.06197519286838732	0.0004830206638288814	0.0013904189812534407
160	0.1	0.05	huber_primary	1200	499	0.049166666666666664	0.03830703804746354	0.06290351416266911	0.010992074999273127	0.0025687742668580008
160	0.1	0.05	huber_cap6	1200	499	0.0475	0.03684195434139706	0.06104590120407803	0.011278284234657265	0.006740639542261846
160	0.2	0.0	original_l2	1200	499	0.6183333333333333	0.5905110625059294	0.6454004006847566	0.008550669443590175	0.16717899237169848
160	0.2	0.0	huber_primary	1200	499	0.7041666666666667	0.6777244584304326	0.7293058829901174	0.04130916043539368	0.1799718766123715
160	0.2	0.0	huber_cap6	1200	499	0.7041666666666667	0.6777244584304326	0.7293058829901174	0.04130916043539368	0.1799718766123715
160	0.2	0.05	original_l2	1200	499	0.0475	0.03684195434139706	0.06104590120407803	-0.0006743902628421061	-0.0020275231593928898
160	0.2	0.05	huber_primary	1200	499	0.0475	0.03684195434139706	0.06104590120407803	0.00247575931502908	0.00030558077526825564
160	0.2	0.05	huber_cap6	1200	499	0.055	0.043463582072856735	0.06937640846357733	0.015079859095638248	0.009078667776811713
160	0.3	0.0	original_l2	1200	499	0.9108333333333334	0.8933706192108694	0.9256741086272168	0.013137764058764212	0.2552902424235406
160	0.3	0.0	huber_primary	1200	499	0.9566666666666667	0.9436159878608664	0.9668028982553022	0.06272720962296185	0.271361686981249
160	0.3	0.0	huber_cap6	1200	499	0.9566666666666667	0.9436159878608664	0.9668028982553022	0.06272720962296185	0.271361686981249
160	0.3	0.05	original_l2	1200	499	0.04083333333333333	0.03102354197066147	0.05357352691618343	-0.0002696225250137241	-0.0007868465803332119
160	0.3	0.05	huber_primary	1200	499	0.045	0.034651851044372725	0.058251959504116047	0.012361947554389019	0.002943870074977274
160	0.3	0.05	huber_cap6	1200	499	0.050833333333333335	0.0397759124281339	0.0647573364466563	0.02825574712048673	0.016628219323175184
160	0.5	0.0	original_l2	1200	499	1.0	0.9968089993972651	1.0	0.022660456310803267	0.43859153962100267
160	0.5	0.0	huber_primary	1200	499	1.0	0.9968089993972651	1.0	0.106199760133741	0.4582438813147263
160	0.5	0.0	huber_cap6	1200	499	1.0	0.9968089993972651	1.0	0.106199760133741	0.4582438813147263
160	0.5	0.05	original_l2	1200	499	0.049166666666666664	0.03830703804746354	0.06290351416266911	0.0006459499984274863	0.0018818790898863262
160	0.5	0.05	huber_primary	1200	499	0.05	0.039041012521836546	0.06383088802062488	0.03153661161842325	0.00769018801760247
160	0.5	0.05	huber_cap6	1200	499	0.06666666666666667	0.053890931096324014	0.08220793609271289	0.04949149801833164	0.029609202972654684
160	0.7	0.0	original_l2	1200	499	1.0	0.9968089993972651	1.0	0.03263905338366557	0.6369824947459366
160	0.7	0.0	huber_primary	1200	499	1.0	0.9968089993972651	1.0	0.1501261836902381	0.6528536782963383
