family	n	n_blocks	scale_ratio	signal_magnitude	permutation_scheme	method	repetitions	n_perm	rejection_rate	wilson_low	wilson_high	mean_observed_cdelta	mean_permutation_reference
conditional_null	160	2	2.0	0.0	within_block	huber_primary	1500	499	0.04466666666666667	0.03532481507788357	0.05633475316462838	1.1096943962853563	1.1098527035487173
conditional_null	160	2	2.0	0.0	within_block	huber_cap6	1500	499	0.04466666666666667	0.03532481507788357	0.05633475316462838	1.1096735323508413	1.1098424566240148
matched_within_block	160	2	2.0	4.0	unrestricted	original_l2	1500	499	1.0	0.9974455692798185	1.0	1.108942889461262	1.0000107108322864
matched_within_block	160	2	2.0	4.0	unrestricted	huber_primary	1500	499	1.0	0.9974455692798185	1.0	1.6711563573818027	1.0001454652009145
matched_within_block	160	2	2.0	4.0	unrestricted	huber_cap6	1500	499	1.0	0.9974455692798185	1.0	1.607083073753777	1.0001319776366344
matched_within_block	160	2	2.0	4.0	within_block	original_l2	1500	499	1.0	0.9974455692798185	1.0	1.108942889461262	1.0132771056558991
matched_within_block	160	2	2.0	4.0	within_block	huber_primary	1500	499	1.0	0.9974455692798185	1.0	1.6711563573818027	1.111684700985305
matched_within_block	160	2	2.0	4.0	within_block	huber_cap6	1500	499	1.0	0.9974455692798185	1.0	1.607083073753777	1.107726307550882
matched_within_block	160	2	2.0	6.0	unrestricted	original_l2	1500	499	1.0	0.9974455692798185	1.0	1.1911295866683567	0.999995575538275
matched_within_block	160	2	2.0	6.0	unrestricted	huber_primary	1500	499	1.0	0.9974455692798185	1.0	2.3482009341229744	0.9999955726668041
matched_within_block	160	2	2.0	6.0	unrestricted	huber_cap6	1500	499	1.0	0.9974455692798185	1.0	1.8845551573550552	0.9999865603616706
matched_within_block	160	2	2.0	6.0	within_block	original_l2	1500	499	1.0	0.9974455692798185	1.0	1.1911295866683567	1.0104846830583476
matched_within_block	160	2	2.0	6.0	within_block	huber_primary	1500	499	1.0	0.9974455692798185	1.0	2.3482009341229744	1.113685563206456
matched_within_block	160	2	2.0	6.0	within_block	huber_cap6	1500	499	1.0	0.9974455692798185	1.0	1.8845551573550552	1.0908223788666485
conditional_null	160	2	4.0	0.0	unrestricted	original_l2	1500	499	0.906	0.8901770595240771	0.9197487427311356	1.0388275154468953	1.000013744209938
conditional_null	160	2	4.0	0.0	unrestricted	huber_primary	1500	499	0.9846666666666667	0.9770961533671854	0.9897610851213854	1.353951235163221	1.000141466563709
conditional_null	160	2	4.0	0.0	unrestricted	huber_cap6	1500	499	0.9893333333333333	0.9827430427895784	0.9934236876789372	1.3527427305630664	1.000147404418964
conditional_null	160	2	4.0	0.0	within_block	original_l2	1500	499	0.042	0.03296459689144124	0.05337526164824502	1.0388275154468953	1.0388240256193437
conditional_null	160	2	4.0	0.0	within_block	huber_primary	1500	499	0.044	0.03473379071821657	0.055595850098588945	1.353951235163221	1.353483445758097
conditional_null	160	2	4.0	0.0	within_block	huber_cap6	1500	499	0.043333333333333335	0.03414340356776986	0.054856309823329244	1.3527427305630664	1.351978176017695
matched_within_block	160	2	4.0	4.0	unrestricted	original_l2	1500	499	1.0	0.9974455692798185	1.0	1.1382645034940608	0.9999741197739833
matched_within_block	160	2	4.0	4.0	unrestricted	huber_primary	1500	499	1.0	0.9974455692798185	1.0	2.0396169371558646	0.999826503594696
matched_within_block	160	2	4.0	4.0	unrestricted	huber_cap6	1500	499	1.0	0.9974455692798185	1.0	1.6572342907982056	0.9998835566799563
matched_within_block	160	2	4.0	4.0	within_block	original_l2	1500	499	0.9946666666666667	0.9895110786364689	0.9972950712376982	1.1382645034940608	1.031330284776823
matched_within_block	160	2	4.0	4.0	within_block	huber_primary	1500	499	0.9946666666666667	0.9895110786364689	0.9972950712376982	2.0396169371558646	1.3512268217994432
matched_within_block	160	2	4.0	4.0	within_block	huber_cap6	1500	499	0.9653333333333334	0.9548228339303267	0.9734665092127578	1.6572342907982056	1.3265548799650047
matched_within_block	160	2	4.0	6.0	unrestricted	original_l2	1500	499	1.0	0.9974455692798185	1.0	1.2218410504111648	0.9999850041530645
matched_within_block	160	2	4.0	6.0	unrestricted	huber_primary	1500	499	1.0	0.9974455692798185	1.0	2.8367229640608063	0.9997793374097067
matched_within_block	160	2	4.0	6.0	unrestricted	huber_cap6	1500	499	1.0	0.9974455692798185	1.0	1.6976920826969681	0.9997671134119364
matched_within_block	160	2	4.0	6.0	within_block	original_l2	1500	499	0.9993333333333333	0.9962333345857864	0.9998823072683257	1.2218410504111648	1.0248415126487602
